Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-06-30,5305.0,5560.0,5299.19,5460.0,988.36305799,5386473.9280582,5449.8940288324
2018-06-29,5064.9,5379.99,4970.5,5305.0,1608.0199526,8185565.0477209,5090.4623630358
2018-06-28,5305.06,5325.51,5043.0,5066.6,937.8678224,4882282.2518827,5205.7253008094
2018-06-27,5218.61,5345.0,5163.3,5299.5,1096.91289196,5770175.9538357,5260.3775524284
2018-06-26,5346.61,5366.3,5199.49,5223.44,1110.95921884,5896708.1689583,5307.7629394131
2018-06-25,5280.13,5440.57,5206.57,5337.1,1430.00848478,7605184.9134643,5318.2795727497
2018-06-24,5305.63,5370.19,4899.13,5272.24,2447.75861514,12488365.85254,5101.9597174724
2018-06-23,5202.17,5392.87,5176.53,5294.39,666.70221435,3515696.3534928,5273.2633517956
2018-06-22,5796.08,5798.0,5101.0,5208.8,2684.08461259,14346820.049723,5345.1444795845
2018-06-21,5833.0,5880.53,5765.1,5795.87,887.65432452,5164425.6827698,5818.0595082016
2018-06-20,5822.54,5881.51,5669.07,5832.8,948.89490085,5475054.7702594,5769.9274865477
2018-06-19,5772.0,5916.32,5740.0,5824.69,995.38247881,5792735.5003667,5819.6076620638
2018-06-18,5563.8,5855.42,5505.76,5764.5,1210.99717979,6847968.8958821,5654.8182028546
2018-06-17,5597.8,5667.37,5540.0,5559.0,444.99253912,2492393.1924523,5600.9774846589
2018-06-16,5520.38,5643.46,5461.85,5597.82,649.57125399,3617763.7632317,5569.4640749719
2018-06-15,5743.1,5763.77,5493.1,5517.11,1045.87670436,5905310.1745551,5646.2775678407
2018-06-14,5348.24,5795.27,5325.33,5745.21,1926.96143285,10713830.182036,5559.9608790251
2018-06-13,5590.1,5638.64,5215.01,5347.29,2767.71396059,15008459.111294,5422.6915515845
2018-06-12,5855.12,5855.12,5500.0,5582.1,1684.44715073,9618727.8734224,5710.3173995419
2018-06-11,5763.08,5888.77,5635.49,5847.62,1981.13228323,11377998.915771,5743.1798028249
2018-06-10,6388.65,6388.65,5660.53,5763.07,2855.57201565,16826034.232534,5892.3515640014
2018-06-09,6478.94,6529.44,6359.42,6393.59,340.41055624,2197167.7016953,6454.4640623489
2018-06-08,6520.24,6523.48,6415.57,6478.94,531.52973126,3437050.8240319,6466.3378582499
2018-06-07,6501.99,6570.0,6468.0,6509.84,594.1632407,3871956.6303216,6516.6546246785
2018-06-06,6500.0,6543.18,6360.85,6501.99,746.78399972,4832599.2047679,6471.2141751561
2018-06-05,6405.4,6537.9,6310.0,6499.15,1173.44276009,7519447.7607591,6408.0226292268
2018-06-04,6610.12,6647.2,6356.28,6408.8,919.98291466,5940687.3219998,6457.3887485675
2018-06-03,6547.22,6664.8,6520.01,6607.84,655.79076297,4337820.6348745,6614.641254215
2018-06-02,6446.96,6600.0,6381.5,6551.16,634.61547131,4150834.0916689,6540.707372136
2018-06-01,6405.28,6520.0,6288.17,6446.96,769.74819842,4930763.4376745,6405.6836349802
2018-05-31,6337.65,6506.18,6291.3,6406.12,1178.07349176,7594961.7206694,6446.9337217008
2018-05-30,6480.59,6549.98,6249.0,6337.68,1149.0663319,7362520.7564992,6407.3940312263
2018-05-29,6117.8,6532.47,6075.0,6470.43,1454.30973084,9197148.3851248,6324.0643929492
2018-05-28,6291.59,6350.0,6091.1,6113.63,1349.17428097,8370549.6944501,6204.2019422665
2018-05-27,6299.2,6354.96,6200.0,6291.0,658.11668358,4128603.8561721,6273.3614861629
2018-05-26,6412.34,6547.38,6256.82,6289.16,568.57217733,3648712.9683174,6417.3259153335
2018-05-25,6475.78,6543.93,6252.49,6417.42,1224.30446538,7817947.880928,6385.6239211718
2018-05-24,6422.38,6608.8,6164.98,6475.29,2212.98025165,14126465.450371,6383.4575296542
2018-05-23,6783.19,6819.88,6371.94,6422.36,2686.78202173,17652922.892898,6570.2847310001
2018-05-22,7117.54,7133.2,6751.0,6787.46,1392.55747118,9685154.8233319,6954.9408363915
2018-05-21,7240.91,7316.49,7065.0,7114.28,803.00013052,5771498.893421,7187.4196205716
2018-05-20,7002.6,7285.0,6940.64,7228.9,721.56873476,5158235.9227478,7148.6411124277
2018-05-19,7008.1,7136.8,6904.64,7001.3,786.67742084,5517573.1644474,7013.7683099584
2018-05-18,6848.6,7038.56,6707.02,6999.01,1241.40922613,8539381.722036,6878.780616652
2018-05-17,7077.95,7170.62,6783.02,6845.29,1326.7728012,9264393.8881937,6982.6528549685
2018-05-16,7178.38,7210.0,6865.21,7056.14,2282.43233576,16018955.696186,7018.3704661073
2018-05-15,7278.3,7427.72,7122.0,7173.1,1560.98062294,11331440.681798,7259.1808734027
2018-05-14,7285.14,7449.01,6936.7,7273.99,2433.4756707,17461849.482776,7175.6827869796
2018-05-13,7115.79,7334.44,6976.31,7273.2,1121.33408781,8077189.5096573,7203.1962619029
2018-05-12,7042.5,7254.44,6828.0,7107.01,1755.37366163,12366730.24847,7045.0699579179
2018-05-11,7579.18,7579.18,6980.0,7013.1,2589.61486955,18769709.77573,7248.0699722702
2018-05-10,7843.51,7913.5,7552.11,7568.85,1105.94073788,8561647.0039024,7741.5061319781
2018-05-09,7739.87,7895.5,7550.88,7843.51,1153.44789344,8912609.427813,7726.9285231709
